#{"t_start": 1709585393.672971, "env_id": "Taxi-v3"}
r,l,t
-200.0,200,0.026022
-2000.0,200,0.04307
-1982.0,200,0.060513
-1991.0,200,0.077726
-1982.0,200,0.099616
-2000.0,200,0.118108
-200.0,200,0.135864
-200.0,200,0.15297
-1991.0,200,0.171702
-2000.0,200,0.188634
-200.0,200,0.206156
-200.0,200,0.223306
-1991.0,200,0.249097
-200.0,200,0.264956
-200.0,200,0.280895
-2000.0,200,0.296685
-2000.0,200,0.314018
-2000.0,200,0.330424
-2000.0,200,0.346553
-200.0,200,0.36241
-1982.0,200,0.380745
-2000.0,200,0.397542
-200.0,200,0.41444
-2000.0,200,0.431411
-200.0,200,0.450634
-2000.0,200,0.468023
-2000.0,200,0.485652
-200.0,200,0.502603
-200.0,200,0.521152
-200.0,200,0.538465
-200.0,200,0.55593
-200.0,200,0.572969
-2000.0,200,0.591697
-200.0,200,0.608818
-200.0,200,0.625959
-200.0,200,0.642909
-1991.0,200,0.661386
-200.0,200,0.678249
-200.0,200,0.695273
-2000.0,200,0.712055
-200.0,200,0.730628
-1982.0,200,0.74784
-1991.0,200,0.764971
-1991.0,200,0.781852
-200.0,200,0.800451
-2000.0,200,0.816922
-200.0,200,0.833981
-2000.0,200,0.851159
-200.0,200,0.869338
-1991.0,200,0.885479
-200.0,200,0.901671
-2000.0,200,0.918383
-2000.0,200,0.93671
-2000.0,200,0.95394
-200.0,200,0.970969
-1991.0,200,0.987809
-2000.0,200,1.006578
-1973.0,200,1.023971
-200.0,200,1.040482
-1991.0,200,1.057299
-200.0,200,1.075902
-2000.0,200,1.093165
-200.0,200,1.110994
-200.0,200,1.127942
-200.0,200,1.146752
-200.0,200,1.163793
-1991.0,200,1.180987
-1964.0,200,1.197792
-200.0,200,1.21654
-200.0,200,1.233983
-200.0,200,1.251088
-2000.0,200,1.267987
-2000.0,200,1.286795
-200.0,200,1.304124
-200.0,200,1.32118
-2000.0,200,1.338242
-2000.0,200,1.356798
-2000.0,200,1.374057
-200.0,200,1.39136
-200.0,200,1.408558
-200.0,200,1.429577
-1982.0,200,1.447593
-1991.0,200,1.465266
-2000.0,200,1.482459
-200.0,200,1.500977
-200.0,200,1.518152
-200.0,200,1.535243
-2000.0,200,1.552134
-200.0,200,1.570862
-2000.0,200,1.588077
-2000.0,200,1.605431
-200.0,200,1.622565
-1991.0,200,1.640906
-2000.0,200,1.658202
-2000.0,200,1.674994
-200.0,200,1.691973
-1991.0,200,1.710995
-1991.0,200,1.728315
-200.0,200,1.745214
-2000.0,200,1.762032
-2000.0,200,1.78048
-200.0,200,1.798154
-200.0,200,1.815125
-1991.0,200,1.832158
-200.0,200,1.850796
-200.0,200,1.86811
-2000.0,200,1.885072
-1982.0,200,1.901778
-200.0,200,1.920035
-200.0,200,1.937425
-1991.0,200,1.954585
-2000.0,200,1.971398
-1973.0,200,1.989778
-200.0,200,2.007529
-200.0,200,2.024626
-200.0,200,2.041634
-2000.0,200,2.060527
-2000.0,200,2.077667
-2000.0,200,2.094738
-2000.0,200,2.111712
-2000.0,200,2.130644
-200.0,200,2.147948
-1991.0,200,2.164915
-1991.0,200,2.181896
-1991.0,200,2.200196
-2000.0,200,2.217525
-200.0,200,2.234636
-200.0,200,2.251614
-200.0,200,2.270075
-1973.0,200,2.287223
-200.0,200,2.304419
-200.0,200,2.321482
-1982.0,200,2.340011
-200.0,200,2.357176
-1982.0,200,2.374214
-200.0,200,2.391235
-200.0,200,2.409671
-1973.0,200,2.426972
-1973.0,200,2.444123
-200.0,200,2.460908
-200.0,200,2.479547
-2000.0,200,2.49675
-2000.0,200,2.513839
-2000.0,200,2.530804
-200.0,200,2.549438
-200.0,200,2.566883
-2000.0,200,2.583947
-200.0,200,2.600859
-200.0,200,2.619329
-200.0,200,2.636669
-1991.0,200,2.653885
-200.0,200,2.670934
-200.0,200,2.68935
-200.0,200,2.706742
-200.0,200,2.723679
-200.0,200,2.740647
-200.0,200,2.759249
-200.0,200,2.776638
-200.0,200,2.793866
-200.0,200,2.810861
-200.0,200,2.829525
-200.0,200,2.847074
-2000.0,200,2.863788
-2000.0,200,2.880537
-2000.0,200,2.899216
-2000.0,200,2.916318
-200.0,200,2.933186
-200.0,200,2.950027
-2000.0,200,2.968501
-1991.0,200,2.985638
-200.0,200,3.002434
-200.0,200,3.019275
-200.0,200,3.037735
-200.0,200,3.055144
-2000.0,200,3.072107
-2000.0,200,3.088897
-200.0,200,3.107637
-200.0,200,3.125123
-200.0,200,3.142095
-2000.0,200,3.159095
-1982.0,200,3.177387
-2000.0,200,3.194493
-2000.0,200,3.211566
-2000.0,200,3.228404
-1973.0,200,3.246794
-200.0,200,3.263734
-2000.0,200,3.280723
-2000.0,200,3.297895
-200.0,200,3.315804
-2000.0,200,3.3328
-200.0,200,3.349895
-2000.0,200,3.366705
-200.0,200,3.385085
-200.0,200,3.402162
-200.0,200,3.419219
-200.0,200,3.43617
-2000.0,200,3.454391
-1991.0,200,3.471494
-1982.0,200,3.488451
-2000.0,200,3.505309
-2000.0,200,3.523688
-2000.0,200,3.540823
-2000.0,200,3.55746
-200.0,200,3.574044
-200.0,200,3.593079
-200.0,200,3.61064
-200.0,200,3.627628
-200.0,200,3.64455
-1991.0,200,3.663203
-200.0,200,3.680527
-1991.0,200,3.697605
-2000.0,200,3.71446
-2000.0,200,3.733056
-200.0,200,3.750435
-200.0,200,3.767461
-2000.0,200,3.784275
-2000.0,200,3.803226
-2000.0,200,3.820312
-1991.0,200,3.837477
-1982.0,200,3.854313
-200.0,200,3.875586
-200.0,200,3.89214
-2000.0,200,3.908494
-1991.0,200,3.925646
-200.0,200,3.952328
-200.0,200,3.968467
-200.0,200,3.984509
-200.0,200,4.000552
-1991.0,200,4.032366
-200.0,200,4.057595
-200.0,200,4.074606
-2000.0,200,4.091857
-1991.0,200,4.111101
-200.0,200,4.12855
-200.0,200,4.14595
-200.0,200,4.163471
-2000.0,200,4.186847
-2000.0,200,4.203206
-200.0,200,4.219953
-2000.0,200,4.235604
-1991.0,200,4.258903
-2000.0,200,4.276315
-1991.0,200,4.293487
-200.0,200,4.310434
-200.0,200,4.32991
-2000.0,200,4.347775
-200.0,200,4.365462
-200.0,200,4.382915
-2000.0,200,4.404269
-1991.0,200,4.421092
-200.0,200,4.438361
-1991.0,200,4.45573
